nose_x,nose_y,neck_x,neck_y,Rshoulder_x,Rshoulder_y,Relbow_x,Relbow_y,Rwrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y,class
0.49,0.38,0.49,0.36,0.45,0.39,0.44,0.48,0.44,0.57,0.53,0.39,0.54,0.48,0.54,0.56,0.47,0.55,0.48,0.67,0.48,0.8,0.52,0.54,0.51,0.66,0.51,0.8,0.48,0.36,0.5,0.36,0.47,0.34,0.51,0.34,0
0.48,0.33,0.48,0.34,0.44,0.37,0.43,0.46,0.43,0.55,0.51,0.36,0.53,0.45,0.54,0.53,0.47,0.54,0.48,0.67,0.48,0.8,0.51,0.52,0.51,0.58,0.51,0.7,0.47,0.32,0.49,0.32,0.46,0.31,0.49,0.31,0
0.52,0.34,0.52,0.33,0.47,0.37,0.46,0.46,0.46,0.55,0.55,0.38,0.56,0.46,0.57,0.55,0.49,0.55,0.49,0.67,0.48,0.8,0.53,0.56,0.53,0.67,0.53,0.8,0.51,0.33,0.53,0.33,0.5,0.31,0.54,0.31,0
0.52,0.34,0.52,0.33,0.48,0.36,0.47,0.46,0.46,0.55,0.56,0.37,0.57,0.46,0.58,0.54,0.49,0.54,0.49,0.67,0.49,0.8,0.54,0.54,0.53,0.67,0.53,0.8,0.51,0.32,0.53,0.32,0.5,0.3,0.54,0.31,0
0.49,0.36,0.49,0.36,0.45,0.4,0.44,0.49,0.45,0.59,0.53,0.38,0.54,0.48,0.55,0.57,0.48,0.54,0.49,0.67,0.49,0.8,0.52,0.5,0.53,0.57,0.52,0.69,0.48,0.35,0.49,0.35,0.47,0.34,0.5,0.34,0
0.49,0.34,0.49,0.34,0.45,0.39,0.45,0.48,0.44,0.57,0.53,0.37,0.55,0.46,0.56,0.54,0.48,0.56,0.49,0.67,0.5,0.81,0.53,0.54,0.53,0.66,0.53,0.78,0.48,0.33,0.5,0.33,0.47,0.31,0.51,0.31,0
0.52,0.37,0.52,0.36,0.48,0.38,0.47,0.48,0.46,0.57,0.55,0.38,0.56,0.48,0.57,0.57,0.49,0.55,0.5,0.67,0.5,0.81,0.54,0.55,0.53,0.67,0.53,0.8,0.51,0.35,0.53,0.35,0.5,0.34,0.54,0.34,0
0.53,0.35,0.53,0.34,0.49,0.38,0.48,0.47,0.47,0.56,0.57,0.39,0.58,0.48,0.59,0.56,0.5,0.53,0.5,0.66,0.5,0.79,0.54,0.53,0.54,0.67,0.53,0.81,0.52,0.34,0.54,0.34,0.51,0.32,0.55,0.32,0
0.49,0.35,0.49,0.34,0.45,0.38,0.44,0.47,0.44,0.56,0.53,0.38,0.55,0.46,0.56,0.54,0.48,0.53,0.49,0.67,0.5,0.82,0.52,0.52,0.53,0.52,0.52,0.65,0.49,0.34,0.5,0.34,0.48,0.32,0.51,0.32,0
0.52,0.34,0.52,0.34,0.48,0.37,0.47,0.47,0.46,0.56,0.56,0.37,0.57,0.47,0.58,0.55,0.5,0.54,0.49,0.66,0.5,0.79,0.54,0.55,0.54,0.68,0.53,0.81,0.51,0.33,0.53,0.33,0.5,0.31,0.54,0.31,0
